True_TRA_fraction,TRA_readcount
9.98183306382384E-07,0
9.98183306382384E-07,0
9.98183306382384E-07,0
9.98183306382384E-07,1
9.98183306382384E-07,0
9.98183306382384E-07,2
9.98183306382384E-07,0
9.98183306382384E-07,0
9.98183306382384E-07,0
9.98183306382384E-07,0
9.98183306382384E-07,0
9.98183306382384E-07,1
9.98183306382384E-07,0
9.98183306382384E-07,2
9.98183306382384E-07,7
9.98183306382384E-07,2
9.98183306382384E-07,4
9.98183306382384E-07,6
9.98183306382384E-06,28
9.98183306382384E-06,15
9.98183306382384E-06,9
9.98183306382384E-06,0
9.98183306382384E-06,3
9.98183306382384E-06,16
9.98183306382384E-06,6
9.98183306382384E-06,15
9.98183306382384E-06,1
9.98183306382384E-06,10
9.98183306382384E-06,2
9.98183306382384E-06,13
0.000299454991915,209
0.000299454991915,56
0.000299454991915,124
0.000299454991915,58
0.000299454991915,54
0.000299454991915,109
0.000299454991915,97
0.000299454991915,28
0.000299454991915,4
0.000299454991915,50
0.000299454991915,35
0.000299454991915,23
9.98183306382384E-07,4
9.98183306382384E-07,1
9.98183306382384E-07,0
9.98183306382384E-07,0
9.98183306382384E-07,3
9.98183306382384E-07,1
4.99091653191192E-05,35
4.99091653191192E-05,13
4.99091653191192E-05,44
4.99091653191192E-05,20
4.99091653191192E-05,18
4.99091653191192E-05,35
0.000299454991915,290
0.000299454991915,244
0.000299454991915,248
0.000299454991915,363
0.000299454991915,286
0.000299454991915,408
0.002994549919147,4999
0.002994549919147,3117
0.002994549919147,4854
0.002994549919147,4123
0.002994549919147,4378
0.002994549919147,4395
2.99454991914715E-06,7
2.99454991914715E-06,0
2.99454991914715E-06,0
2.99454991914715E-06,1
2.99454991914715E-06,4
2.99454991914715E-06,3
9.98183306382384E-06,0
9.98183306382384E-06,4
9.98183306382384E-06,5
9.98183306382384E-06,10
9.98183306382384E-06,4
9.98183306382384E-06,2
9.98183306382384E-06,7
9.98183306382384E-06,0
9.98183306382384E-06,0
9.98183306382384E-06,0
9.98183306382384E-06,0
9.98183306382384E-06,0
0.000299454991915,498
0.000299454991915,539
0.000299454991915,743
0.000299454991915,541
0.000299454991915,593
0.000299454991915,628
2.99454991914715E-06,0
2.99454991914715E-06,1
2.99454991914715E-06,7
2.99454991914715E-06,3
2.99454991914715E-06,6
2.99454991914715E-06,4
2.99454991914715E-06,1
2.99454991914715E-06,0
2.99454991914715E-06,0
2.99454991914715E-06,2
2.99454991914715E-06,0
2.99454991914715E-06,1
0.009981833063824,1365
0.009981833063824,1263
0.009981833063824,1509
0.009981833063824,1798
0.009981833063824,1562
0.009981833063824,1922
0.009981833063824,9582
0.009981833063824,6574
0.009981833063824,9364
0.009981833063824,8010
0.009981833063824,8855
0.009981833063824,9208
0.002994549919147,2152
0.002994549919147,1609
0.002994549919147,2534
0.002994549919147,2192
0.002994549919147,2168
0.002994549919147,2277
0.002994549919147,1187
0.002994549919147,802
0.002994549919147,1204
0.002994549919147,1025
0.002994549919147,1187
0.002994549919147,1135
2.99454991914715E-06,0
2.99454991914715E-06,0
2.99454991914715E-06,0
2.99454991914715E-06,3
2.99454991914715E-06,0
2.99454991914715E-06,0
2.99454991914715E-06,2
2.99454991914715E-06,0
2.99454991914715E-06,9
2.99454991914715E-06,4
2.99454991914715E-06,2
2.99454991914715E-06,5
0.009981833063824,12609
0.009981833063824,8649
0.009981833063824,13178
0.009981833063824,11632
0.009981833063824,12786
0.009981833063824,12354
0.009981833063824,2659
0.009981833063824,1193
0.009981833063824,2334
0.009981833063824,1807
0.009981833063824,2587
0.009981833063824,1800
0.049909165319119,10940
0.049909165319119,4827
0.049909165319119,11025
0.049909165319119,6110
0.049909165319119,11966
0.049909165319119,7395
0.049909165319119,36350
0.049909165319119,22675
0.049909165319119,38659
0.049909165319119,29101
0.049909165319119,37948
0.049909165319119,31646
0.049909165319119,17535
0.049909165319119,14801
0.049909165319119,18471
0.049909165319119,20610
0.049909165319119,19471
0.049909165319119,21662
0.002994549919147,642
0.002994549919147,404
0.002994549919147,807
0.002994549919147,522
0.002994549919147,709
0.002994549919147,596
0.002994549919147,1092
0.002994549919147,591
0.002994549919147,1145
0.002994549919147,910
0.002994549919147,1453
0.002994549919147,834
4.99091653191192E-05,4
4.99091653191192E-05,3
4.99091653191192E-05,0
4.99091653191192E-05,3
4.99091653191192E-05,0
4.99091653191192E-05,4
0.049909165319119,9784
0.049909165319119,7291
0.049909165319119,9299
0.049909165319119,9544
0.049909165319119,9468
0.049909165319119,10459
0.049909165319119,8295
0.049909165319119,7731
0.049909165319119,8796
0.049909165319119,11247
0.049909165319119,9227
0.049909165319119,12747
4.99091653191192E-05,19
4.99091653191192E-05,8
4.99091653191192E-05,7
4.99091653191192E-05,0
4.99091653191192E-05,51
4.99091653191192E-05,11
4.99091653191192E-05,142
4.99091653191192E-05,43
4.99091653191192E-05,51
4.99091653191192E-05,105
4.99091653191192E-05,73
4.99091653191192E-05,55
0.000998183306382,982
0.000998183306382,389
0.000998183306382,737
0.000998183306382,444
0.000998183306382,718
0.000998183306382,530
0.000998183306382,238
0.000998183306382,175
0.000998183306382,261
0.000998183306382,215
0.000998183306382,390
0.000998183306382,232
